Sample_No,Site_No,Heather_Density,Heather_Category,Heather_Code,Plot,AMF,Code,Tube code,Subsample_weight,,,,,,,,,,,,,,,,,,,
N1,1,30,Medium,50,1,24.7,1-50-1,1,0.5029,,,,,,,,,,,,,,,,,,,
N2,1,10,Low,50,2,35.7,1-50-2,2,0.5115,,,,,,,,,,,,,,,,,,,
N3,1,40,Medium,50,3,41,1-50-3,3,0.4912,,,,,,,,,,,,,,,,,,,
N4,1,60,Medium,50,4,41.7,1-50-4,4,0.5089,,,,,,,,,,,,,,,,,,,
N5,1,30,Medium,50,5,45.7,1-50-5,5,0.5131,,,,,,,,,,,,,,,,,,,
N6,2,0,Low,0,1,54,2-0-1,6,0.5101,,,,,,,,,,,,,,,,,,,
N7,2,0,Low,0,2,59.7,2-0-2,7,0.5314,,,,,,,,,,,,,,,,,,,
N8,2,0,Low,0,3,51,2-0-3,8,0.5062,,,,,,,,,,,,,,,,,,,
N9,2,0,Low,0,4,48.3,2-0-4,9,0.5028,,,,,,,,,,,,,,,,,,,
N10,2,0,Low,0,5,52.7,2-0-5,10,0.5078,,,,,,,,,,,,,,,,,,,
N11,3,60,Medium,100,1,23.7,3-100-1,11,0.5166,,,,,,,,,,,,,,,,,,,
N12,3,50,Medium,100,2,26.7,3-100-2,12,0.5271,,,,,,,,,,,,,,,,,,,
N13,3,80,High,100,3,18.3,3-100-3,13,0.4623,,,,,,,,,,,,,,,,,,,
N14,3,70,High,100,4,28,3-100-4,14,0.5051,,,,,,,,,,,,,,,,,,,
N15,3,70,High,100,5,21,3-100-5,15,0.4941,,,,,,,,,,,,,,,,,,,
N16,4,60,Medium,100,1,32,4-100-1,16,0.5311,,,,,,,,,,,,,,,,,,,
N17,4,60,Medium,100,2,13,4-100-2,17,0.4961,,,,,,,,,,,,,,,,,,,
N18,4,70,High,100,3,19.7,4-100-3,18,0.527,,,,,,,,,,,,,,,,,,,
N19,4,60,Medium,100,4,18,4-100-4,19,0.5405,,,,,,,,,,,,,,,,,,,
N20,4,50,Medium,100,5,16,4-100-5,20,0.4568,,,,,,,,,,,,,,,,,,,
N21,5,20,Medium,50,1,23,5-50-1,21,0.5396,,,,,,,,,,,,,,,,,,,
N22,5,50,Medium,50,2,29.7,5-50-2,22,0.5438,,,,,,,,,,,,,,,,,,,
N23,5,60,Medium,50,3,22.7,5-50-3,23,0.5394,,,,,,,,,,,,,,,,,,,
N24,5,40,Medium,50,4,35.7,5-50-4,24,0.4699,,,,,,,,,,,,,,,,,,,
N25,5,50,Medium,50,5,30.3,5-50-5,25,0.4883,,,,,,,,,,,,,,,,,,,
N26,6,0,Low,0,1,43,6-0-1,26,0.4758,,,,,,,,,,,,,,,,,,,
N27,6,0,Low,0,2,40,6-0-2,27,0.4604,,,,,,,,,,,,,,,,,,,
N28,6,0,Low,0,3,45,6-0-3,28,0.4899,,,,,,,,,,,,,,,,,,,
N29,6,0,Low,0,4,44.3,6-0-4,29,0.4601,,,,,,,,,,,,,,,,,,,
